"","argomento","nome","cognome","genere","dataNascita","gruppo_parlamentare","background","inizioIncarico","fineIncarico","data_intervento","intervento","discussione","gruppo"
"186","Sull'ordine dei lavori, per interventi su argomenti non iscritti all'ordine del giorno (mancata adozione del piano antiviolenza sulle donne; violenta tromba d'aria su comuni della provincia di Padova)","GIUSEPPE","L'ABBATE","male",1985-03-13,"MOVIMENTO 5 STELLE (19.03.2013-22.03.2018)","Laurea in informatica",2013-03-19,2018-03-22,2014-10-30,"<http://dati.camera.it/ocd/intervento.rdf/in17_303104>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib71838_17>","Movimento 5 Stelle"
"187","Per richiami al Regolamento e sull'ordine dei lavori (disciplina degli interventi sul processo verbale; irritualità della chiusura anticipata della discussione nella seduta del 29 gennaio; stigmatizzazione del comportamento di un gruppo parlamentare; impossibilità per alcuni deputati di partecipare alle sedute delle Commissioni; incidenti verificatisi nel corso della seduta del 29 gennaio; riforma del Regolamento; solidarietà agli assistenti parlamentari; espressioni di solidarietà alla Presidente della Camera e al Presidente della Repubblica; adozione di atteggiamenti e di un linguaggio irrispettosi nei confronti delle donne).","IGNAZIO BENITO MARIA","LA RUSSA","male",1947-07-18,"FRATELLI D'ITALIA (03.04.2013-22.03.2018)","Laurea in giurisprudenza; Avvocato patrocinante in Cassazione",2013-04-03,2018-03-22,2014-01-30,"<http://dati.camera.it/ocd/intervento.rdf/in17_261155>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib62801_17>","Destra"
"188","Audizione di Gabriella Cims, promotrice di Appello donne e media Onlus, Elisa Manna, responsabile per le politiche sociali del CENSIS, Gioia Vaccari, membro dell'Istituto nazionale di scienze biosociali, Sonia Albanese, membro di Zonta International e Anna Maria Buzzetti, associazione giuriste italiane - presidente della sezione di Roma.","GIORGIO","LAINATI","male",1958-05-22,"IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE (19.03.2013-19.05.2016)","Diploma di liceo scientifico; Giornalista professionista",2013-03-19,2016-05-19,2013-12-17,"<http://dati.camera.it/ocd/intervento.rdf/in17_253678>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib61455_17>","Destra"
"189","Svolgimento e conclusione - Audizione di Donatella Martini, presidente di DonneinQuota, e Rosa Oliva, presidente di Rete per la Parità.","GIORGIO","LAINATI","male",1958-05-22,"ALTERNATIVA POPOLARE-CENTRISTI PER L'EUROPA-NCD (14.07.2017-22.03.2018)","Diploma di liceo scientifico; Giornalista professionista",2017-07-14,2018-03-22,2017-11-21,"<http://dati.camera.it/ocd/intervento.rdf/in17_459338>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib109600_17>","Centro"
"190","Svolgimento e conclusione - Audizione di Gabriella Cims, promotrice dell'Appello Donne e media, e Sonia Albanese, di Appello Donne e media.","GIORGIO","LAINATI","male",1958-05-22,"ALTERNATIVA POPOLARE-CENTRISTI PER L'EUROPA-NCD (14.07.2017-22.03.2018)","Diploma di liceo scientifico; Giornalista professionista",2017-07-14,2018-03-22,2017-11-22,"<http://dati.camera.it/ocd/intervento.rdf/in17_459657>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib109729_17>","Centro"
"191","Esame e rinvio - Interventi per il sostegno e l'assistenza delle donne vittime di violenza. C. 951","DONATA","LENZI","female",1956-06-29,"PARTITO DEMOCRATICO (19.03.2013-22.03.2018)","Laurea in giurisprudenza; Dipendente di azienda bancaria",2013-03-19,2018-03-22,2013-09-10,"<http://dati.camera.it/ocd/intervento.rdf/in17_232600>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib57568_17>","Sinistra"
"192","Seguito dell'esame e rinvio - Interventi per il sostegno e l'assistenza delle donne vittime di violenza. C. 951","DONATA","LENZI","female",1956-06-29,"PARTITO DEMOCRATICO (19.03.2013-22.03.2018)","Laurea in giurisprudenza; Dipendente di azienda bancaria",2013-03-19,2018-03-22,2013-09-17,"<http://dati.camera.it/ocd/intervento.rdf/in17_233863>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib57849_17>","Sinistra"
"193","Rinvio del seguito dell'esame - Interventi per il sostegno e l'assistenza delle donne vittime di violenza. C. 951","DONATA","LENZI","female",1956-06-29,"PARTITO DEMOCRATICO (19.03.2013-22.03.2018)","Laurea in giurisprudenza; Dipendente di azienda bancaria",2013-03-19,2018-03-22,2013-09-24,"<http://dati.camera.it/ocd/intervento.rdf/in17_235473>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib58161_17>","Sinistra"
"194","Per un richiamo al Regolamento circa la presunta parzialità della Presidente della Camera nella conduzione della seduta, in difesa della stessa dai reiterati attacchi da parte di un gruppo parlamentare, su presunte anomalie nelle votazioni in Comitato dei nove, e sull'ordine dei lavori (omicidio di una donna a Udine; insulti ad esponenti di un partito da parte di un membro del Comitato dei saggi per le riforme costituzionali; compleanno di Lucia Annibaldi, vittima di violenza; sugli effetti negativi del decreto svuota-carceri e sugli uomini vittime di stalking; sentenza sul lodo Mondadori; contenuto degli interventi sull'ordine dei lavori).","DONATA","LENZI","female",1956-06-29,"PARTITO DEMOCRATICO (19.03.2013-22.03.2018)","Laurea in giurisprudenza; Dipendente di azienda bancaria",2013-03-19,2018-03-22,2013-09-18,"<http://dati.camera.it/ocd/intervento.rdf/in17_234436>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib57966_17>","Sinistra"
"195","Per richiami al Regolamento e sull'ordine dei lavori (disciplina degli interventi sul processo verbale; irritualità della chiusura anticipata della discussione nella seduta del 29 gennaio; stigmatizzazione del comportamento di un gruppo parlamentare; impossibilità per alcuni deputati di partecipare alle sedute delle Commissioni; incidenti verificatisi nel corso della seduta del 29 gennaio; riforma del Regolamento; solidarietà agli assistenti parlamentari; espressioni di solidarietà alla Presidente della Camera e al Presidente della Repubblica; adozione di atteggiamenti e di un linguaggio irrispettosi nei confronti delle donne).","ANTONIO","LEONE","male",1948-01-16,"NUOVO CENTRODESTRA (18.11.2013-26.09.2014)","Laurea in giurisprudenza; Avvocato",2013-11-18,2014-09-26,2014-01-30,"<http://dati.camera.it/ocd/intervento.rdf/in17_261043>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib62801_17>","Destra"
"196","Per un richiamo al Regolamento circa la presunta parzialità della Presidente della Camera nella conduzione della seduta, in difesa della stessa dai reiterati attacchi da parte di un gruppo parlamentare, su presunte anomalie nelle votazioni in Comitato dei nove, e sull'ordine dei lavori (omicidio di una donna a Udine; insulti ad esponenti di un partito da parte di un membro del Comitato dei saggi per le riforme costituzionali; compleanno di Lucia Annibaldi, vittima di violenza; sugli effetti negativi del decreto svuota-carceri e sugli uomini vittime di stalking; sentenza sul lodo Mondadori; contenuto degli interventi sull'ordine dei lavori).","MIRELLA","LIUZZI","female",1985-02-27,"MOVIMENTO 5 STELLE (19.03.2013-22.03.2018)","Laurea in comunicazione pubblica e di impresa",2013-03-19,2018-03-22,2013-09-18,"<http://dati.camera.it/ocd/intervento.rdf/in17_234430>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib57966_17>","Movimento 5 Stelle"
"197","Svolgimento e conclusione - Indagine conoscitiva sulla tutela dei diritti delle minoranze per il mantenimento della pace e della sicurezza a livello internazionale.
Audizione di Isabella Peretti, co-autrice dell'introduzione del volume ""Stupri di guerra e violenze di genere"" e curatrice della collana ""Sessismorazzismo"", Vittoria Tola, responsabile nazionale dell'Unione Donne Italiane, Chiara Valentini, giornalista e saggista, e Simona La Rocca, curatrice del libro ""Stupri di guerra e violenze di genere"" ed esperta di diritti umani e di diritti dell'ambiente","PIA ELDA","LOCATELLI","female",1949-08-13,"MISTO (19.03.2013-22.03.2018)","Laurea in economia e commercio, Laurea in lingue e letterature straniere",2013-03-19,2018-03-22,2016-02-25,"<http://dati.camera.it/ocd/intervento.rdf/in17_379320>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib88411_17>","Misto"
"198","Svolgimento e conclusione - Indagine conoscitiva sulla tutela dei diritti delle minoranze per il mantenimento della pace e della sicurezza a livello internazionale.
Audizione di Isabella Peretti, co-autrice dell'introduzione del volume ""Stupri di guerra e violenze di genere"" e curatrice della collana ""Sessismorazzismo"", Vittoria Tola, responsabile nazionale dell'Unione Donne Italiane, Chiara Valentini, giornalista e saggista, e Simona La Rocca, curatrice del libro ""Stupri di guerra e violenze di genere"" ed esperta di diritti umani e di diritti dell'ambiente","PIA ELDA","LOCATELLI","female",1949-08-13,"MISTO (19.03.2013-22.03.2018)","Laurea in economia e commercio, Laurea in lingue e letterature straniere",2013-03-19,2018-03-22,2016-02-25,"<http://dati.camera.it/ocd/intervento.rdf/in17_379319>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib88411_17>","Misto"
