"","argomento","nome","cognome","genere","dataNascita","gruppo_parlamentare","background","inizioIncarico","fineIncarico","data_intervento","intervento","discussione","gruppo"
"1","Per un richiamo al Regolamento circa la presunta parzialità della Presidente della Camera nella conduzione della seduta, in difesa della stessa dai reiterati attacchi da parte di un gruppo parlamentare, su presunte anomalie nelle votazioni in Comitato dei nove, e sull'ordine dei lavori (omicidio di una donna a Udine; insulti ad esponenti di un partito da parte di un membro del Comitato dei saggi per le riforme costituzionali; compleanno di Lucia Annibaldi, vittima di violenza; sugli effetti negativi del decreto svuota-carceri e sugli uomini vittime di stalking; sentenza sul lodo Mondadori; contenuto degli interventi sull'ordine dei lavori).","FERDINANDO","ADORNATO","male",1954-05-11,"SCELTA CIVICA PER L'ITALIA (19.03.2013-10.12.2013)","Laurea in filosofia;  Dirigente di fondazione, Presidente Fondazione ""Liberal""",2013-03-19,2013-12-10,2013-09-18,"<http://dati.camera.it/ocd/intervento.rdf/in17_234424>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib57966_17>","Centro"
"2","Iniziative urgenti per avviare il Piano d'azione straordinario contro la violenza sessuale e di genere e per rilanciare le politiche di prevenzione e contrasto alla violenza sulle donne  n. 2-00544","ROBERTA","AGOSTINI","female",1966-08-25,"PARTITO DEMOCRATICO (19.03.2013-28.02.2017)","Laurea in filosofia; Dipendente pubblico",2013-03-19,2017-02-28,2014-05-30,"<http://dati.camera.it/ocd/intervento.rdf/in17_279892>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib66770_17>","Sinistra"
"3","Iniziative urgenti per avviare il Piano d'azione straordinario contro la violenza sessuale e di genere e per rilanciare le politiche di prevenzione e contrasto alla violenza sulle donne  n. 2-00544","ROBERTA","AGOSTINI","female",1966-08-25,"PARTITO DEMOCRATICO (19.03.2013-28.02.2017)","Laurea in filosofia; Dipendente pubblico",2013-03-19,2017-02-28,2014-05-30,"<http://dati.camera.it/ocd/intervento.rdf/in17_279891>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib66770_17>","Sinistra"
"4","Seguito dell'esame e rinvio - Modifica all'articolo 4 della legge 2 luglio 2004, n. 165, recante disposizioni volte a garantire l'equilibrio nella rappresentanza tra donne e uomini nei consigli regionali. Testo base C. 3297, approvata dal Senato, C. 1278","ROBERTA","AGOSTINI","female",1966-08-25,"PARTITO DEMOCRATICO (19.03.2013-28.02.2017)","Laurea in filosofia; Dipendente pubblico",2013-03-19,2017-02-28,2015-12-17,"<http://dati.camera.it/ocd/intervento.rdf/in17_369086>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib86168_17>","Sinistra"
"5","Seguito dell'esame e rinvio - Modifica all'articolo 4 della legge 2 luglio 2004, n. 165, recante disposizioni volte a garantire l'equilibrio nella rappresentanza tra donne e uomini nei consigli regionali. Testo base C. 3297, approvata dal Senato, C. 1278","ROBERTA","AGOSTINI","female",1966-08-25,"PARTITO DEMOCRATICO (19.03.2013-28.02.2017)","Laurea in filosofia; Dipendente pubblico",2013-03-19,2017-02-28,2015-12-17,"<http://dati.camera.it/ocd/intervento.rdf/in17_369094>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib86168_17>","Sinistra"
"6","Seguito dell'esame e rinvio - Modifica all'articolo 4 della legge 2 luglio 2004, n. 165, recante disposizioni volte a garantire l'equilibrio nella rappresentanza tra donne e uomini nei consigli regionali. Testo base C. 3297, approvata dal Senato, C. 1278","ROBERTA","AGOSTINI","female",1966-08-25,"PARTITO DEMOCRATICO (19.03.2013-28.02.2017)","Laurea in filosofia; Dipendente pubblico",2013-03-19,2017-02-28,2015-12-17,"<http://dati.camera.it/ocd/intervento.rdf/in17_369095>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib86168_17>","Sinistra"
"7","Discussione e conclusione - Approvazione della risoluzione n. 8-00185 - 7-00988 Zampa: Sull'attuazione degli impegni assunti dall'Italia in materia di salute globale, eguaglianza di genere e di empowerment delle donne","ROBERTA","AGOSTINI","female",1966-08-25,"PARTITO DEMOCRATICO (19.03.2013-28.02.2017)","Laurea in filosofia; Dipendente pubblico",2013-03-19,2017-02-28,2016-05-26,"<http://dati.camera.it/ocd/intervento.rdf/in17_393683>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib92173_17>","Sinistra"
"8","Svolgimento e conclusione - Indagine conoscitiva sulle politiche in materia di parità tra donne e uomini. Audizione di Aldo Reschigna, Vice Coordinatore della Commissione Affari istituzionali e generali della Conferenza delle Regioni e delle Province autonome.","ROBERTA","AGOSTINI","female",1966-08-25,"ARTICOLO 1-MOVIMENTO DEMOCRATICO E PROGRESSISTA (28.02.2017-22.03.2018)","Laurea in filosofia; Dipendente pubblico",2017-02-28,2018-03-22,2017-11-22,"<http://dati.camera.it/ocd/intervento.rdf/in17_459423>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib109641_17>","Sinistra"
"9","Svolgimento e conclusione - Indagine conoscitiva sulle politiche in materia di parità tra donne e uomini.
Audizione del presidente dell'Istat, Giorgio Alleva, di Vittoria Buratta, responsabile della direzione centrale per le statistiche sociali ed il censimento della popolazione dell'Istat, e di Roberto Monducci, direttore del dipartimento per la produzione statistica dell'Istat","ROBERTA","AGOSTINI","female",1966-08-25,"ARTICOLO 1-MOVIMENTO DEMOCRATICO E PROGRESSISTA (28.02.2017-22.03.2018)","Laurea in filosofia; Dipendente pubblico",2017-02-28,2018-03-22,2017-10-25,"<http://dati.camera.it/ocd/intervento.rdf/in17_455939>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib108526_17>","Sinistra"
"10","Interventi di fine seduta su argomenti non iscritti all'ordine del giorno (inadempienze del Governo rispetto alla ""opzione donna""; aggressione a Ostia da parte di un esponente della famiglia Spada ai danni di due operatori televisivi RAI; norme sulla conservazione dei dati di traffico telefonico; errato invio di una interpellanza non ancora discussa ad un soggetto esterno; anniversario dell'uccisione di Gabriele Sandri), e per la risposta a strumenti del sindacato ispettivo.","ROBERTA","AGOSTINI","female",1966-08-25,"ARTICOLO 1-MOVIMENTO DEMOCRATICO E PROGRESSISTA (28.02.2017-22.03.2018)","Laurea in filosofia; Dipendente pubblico",2017-02-28,2018-03-22,2017-11-08,"<http://dati.camera.it/ocd/intervento.rdf/in17_457257>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib108921_17>","Sinistra"
"11","Nella giornata internazionale per l'eliminazione della violenza contro le donne","STEFANO","ALLASIA","male",1974-12-06,"LEGA NORD E AUTONOMIE (17.04.2013-22.03.2018)","Diploma di istituto tecnico industriale; Artigiano",2013-04-17,2018-03-22,2014-11-25,"<http://dati.camera.it/ocd/intervento.rdf/in17_308082>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib72764_17>","Destra"
"12","Audizione di Gabriella Cims, promotrice di Appello donne e media Onlus, Elisa Manna, responsabile per le politiche sociali del CENSIS, Gioia Vaccari, membro dell'Istituto nazionale di scienze biosociali, Sonia Albanese, membro di Zonta International e Anna Maria Buzzetti, associazione giuriste italiane - presidente della sezione di Roma.","MICHELE","ANZALDI","male",1960-08-04,"PARTITO DEMOCRATICO (19.03.2013-22.03.2018)","Diploma di liceo classico; Giornalista professionista",2013-03-19,2018-03-22,2013-12-17,"<http://dati.camera.it/ocd/intervento.rdf/in17_253680>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib61455_17>","Sinistra"
"13","Svolgimento e conclusione - Audizione di Donatella Martini, presidente di Donne in quota, e Claudia Signoretti, Fondazione Pangea","MICHELE","ANZALDI","male",1960-08-04,"PARTITO DEMOCRATICO (19.03.2013-22.03.2018)","Diploma di liceo classico; Giornalista professionista",2013-03-19,2018-03-22,2014-01-08,"<http://dati.camera.it/ocd/intervento.rdf/in17_255702>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib61824_17>","Sinistra"
"14","Sull'ordine dei lavori, per interventi su argomenti non iscritti all'ordine del giorno (anniversario della morte dello studente Vito Scafidi; concerto neonazista in provincia di Milano; opacità nelle associazioni di volontariato ambientale; mancata attuazione del piano antiviolenza sulle donne; morte di un elettricista dell'ILVA per malattia professionale; ferimento di un'attivista italiana di Greenpeace; crescita dei reati contro la persona nel ragusano; proposta di legge sulla registrazione degli atti di stato civile; esondazione del fiume Seveso e posizione di un gruppo politico; finanziamenti pubblici delle diverse fonti energetiche) e per la risposta a strumenti del sindacato ispettivo","MASSIMO","ARTINI","male",1974-12-30,"MOVIMENTO 5 STELLE (19.03.2013-30.11.2014)","Diploma di istituto tecnico commerciale; Imprenditore del settore delle telecomunicazioni",2013-03-19,2014-11-30,2014-11-17,"<http://dati.camera.it/ocd/intervento.rdf/in17_305879>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib72469_17>","Movimento 5 Stelle"
"15","Per un richiamo al Regolamento circa la presunta parzialità della Presidente della Camera nella conduzione della seduta, in difesa della stessa dai reiterati attacchi da parte di un gruppo parlamentare, su presunte anomalie nelle votazioni in Comitato dei nove, e sull'ordine dei lavori (omicidio di una donna a Udine; insulti ad esponenti di un partito da parte di un membro del Comitato dei saggi per le riforme costituzionali; compleanno di Lucia Annibaldi, vittima di violenza; sugli effetti negativi del decreto svuota-carceri e sugli uomini vittime di stalking; sentenza sul lodo Mondadori; contenuto degli interventi sull'ordine dei lavori).","SIMONE","BALDELLI","male",1972-10-25,"IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE (19.03.2013-22.03.2018)","Laurea in scienze politiche; Giornalista pubblicista",2013-03-19,2018-03-22,2013-09-18,"<http://dati.camera.it/ocd/intervento.rdf/in17_234425>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib57966_17>","Destra"
"16","Sull'ordine dei lavori (udienza del leader di un partito al Quirinale; costituzione di un gruppo di deptuati per la modifica della normativa sulla cittadinanza; vicenda di una donna figlia di immigrati stranieri; problemi di alcuni cittadini). Per la disciplina della discussione, per il rispetto del Presidente della Repubblica, in merito a espressioni sconvenienti atte a ledere persone o istituzioni e per l'uso di un linguaggio consono. Richiamo al Regolamento, sulla disciplina degli interventi sull'ordine dei lavori.","SIMONE","BALDELLI","male",1972-10-25,"IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE (19.03.2013-22.03.2018)","Laurea in scienze politiche; Giornalista pubblicista",2013-03-19,2018-03-22,2014-04-03,"<http://dati.camera.it/ocd/intervento.rdf/in17_273095>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib65092_17>","Destra"
"17","Sull'ordine dei lavori, per interventi su argomenti non iscritti all'ordine del giorno (mancata adozione del piano antiviolenza sulle donne; violenta tromba d'aria su comuni della provincia di Padova)","MASSIMO ENRICO","BARONI","male",1973-04-28,"MOVIMENTO 5 STELLE (19.03.2013-22.03.2018)","Specializzazione in psicologia clinica; Consulente",2013-03-19,2018-03-22,2014-10-30,"<http://dati.camera.it/ocd/intervento.rdf/in17_303098>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib71838_17>","Movimento 5 Stelle"
"18","Sull'ordine dei lavori, per interventi su argomenti non iscritti all'ordine del giorno (riunione Comitato dei nove in I Commissione; crisi occupazionale alla Open.Co; problemi legati alla ""Opzione donna"" in materia pensionistica; danneggiamenti alla sede padovana del gruppo Veronesi mangimi; richiesta di revoca dalle Commissioni antimafia e giustizia di un deputato indagato; indagini su un deputato e anomalie della gestione dell'acqua in Campania).","MASSIMO ENRICO","BARONI","male",1973-04-28,"MOVIMENTO 5 STELLE (19.03.2013-22.03.2018)","Specializzazione in psicologia clinica; Consulente",2013-03-19,2018-03-22,2015-07-14,"<http://dati.camera.it/ocd/intervento.rdf/in17_345699>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib80579_17>","Movimento 5 Stelle"
"19","Sull'ordine dei lavori, per interventi su argomenti non iscritti all'ordine del giorno (anniversario della morte dello studente Vito Scafidi; concerto neonazista in provincia di Milano; opacità nelle associazioni di volontariato ambientale; mancata attuazione del piano antiviolenza sulle donne; morte di un elettricista dell'ILVA per malattia professionale; ferimento di un'attivista italiana di Greenpeace; crescita dei reati contro la persona nel ragusano; proposta di legge sulla registrazione degli atti di stato civile; esondazione del fiume Seveso e posizione di un gruppo politico; finanziamenti pubblici delle diverse fonti energetiche) e per la risposta a strumenti del sindacato ispettivo","TATIANA","BASILIO","female",1975-02-11,"MOVIMENTO 5 STELLE (19.03.2013-22.03.2018)","Diploma di liceo linguistico",2013-03-19,2018-03-22,2014-11-17,"<http://dati.camera.it/ocd/intervento.rdf/in17_305876>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib72469_17>","Movimento 5 Stelle"
"20","Sull'ordine dei lavori, per interventi su argomenti non iscritti all'ordine del giorno (mancata adozione del piano antiviolenza sulle donne; violenta tromba d'aria su comuni della provincia di Padova)","TATIANA","BASILIO","female",1975-02-11,"MOVIMENTO 5 STELLE (19.03.2013-22.03.2018)","Diploma di liceo linguistico",2013-03-19,2018-03-22,2014-10-30,"<http://dati.camera.it/ocd/intervento.rdf/in17_303101>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib71838_17>","Movimento 5 Stelle"
"21","Sull'ordine dei lavori, per interventi su argomenti non iscritti all'ordine del giorno (entrata in vigore della Convenzione di Istanbul sulla lotta alla violenza contro le donne; sciopero della fame di esponenti radicali per la condizione dei detenuti; per la nomina del Commissario per la sanità in Calabria; default dell'Argentina; blocco della vendita di armi ad Israele; per il rapido voto in Assemblea del disegno di legge sul reato di depistaggio; probabile chiusura del centro trapianti di midollo osseo di Genova; problemi nell'attuazione del piano delle infrastrutture strategiche; per comunicazione del Governo sulla revisione della convenzione tra la Tirrenia e la Regione Sardegna; sversamento di liquami nocivi nel fiume Treja; aumento della disoccupazione giovanile e intendimenti del Governo; violenza sessuale di militari USA a Vicenza; per la nomina di un ministro per le pari opportunità) e per la risposta a strumenti del sindacato ispettivo.","TATIANA","BASILIO","female",1975-02-11,"MOVIMENTO 5 STELLE (19.03.2013-22.03.2018)","Diploma di liceo linguistico",2013-03-19,2018-03-22,2014-07-31,"<http://dati.camera.it/ocd/intervento.rdf/in17_291489>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib69280_17>","Movimento 5 Stelle"
"22","Sull'ordine dei lavori, per interventi su argomenti non iscritti all'ordine del giorno (anniversario della morte dello studente Vito Scafidi; concerto neonazista in provincia di Milano; opacità nelle associazioni di volontariato ambientale; mancata attuazione del piano antiviolenza sulle donne; morte di un elettricista dell'ILVA per malattia professionale; ferimento di un'attivista italiana di Greenpeace; crescita dei reati contro la persona nel ragusano; proposta di legge sulla registrazione degli atti di stato civile; esondazione del fiume Seveso e posizione di un gruppo politico; finanziamenti pubblici delle diverse fonti energetiche) e per la risposta a strumenti del sindacato ispettivo","PAOLO","BERNINI","male",1987-07-03,"MOVIMENTO 5 STELLE (19.03.2013-22.03.2018)","Laurea in tecnologia della comunicazione audiovisiva e multimediale; Studente",2013-03-19,2018-03-22,2014-11-17,"<http://dati.camera.it/ocd/intervento.rdf/in17_305877>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib72469_17>","Movimento 5 Stelle"
"23","Sull'ordine dei lavori, per interventi su argomenti non iscritti all'ordine del giorno (entrata in vigore della Convenzione di Istanbul sulla lotta alla violenza contro le donne; sciopero della fame di esponenti radicali per la condizione dei detenuti; per la nomina del Commissario per la sanità in Calabria; default dell'Argentina; blocco della vendita di armi ad Israele; per il rapido voto in Assemblea del disegno di legge sul reato di depistaggio; probabile chiusura del centro trapianti di midollo osseo di Genova; problemi nell'attuazione del piano delle infrastrutture strategiche; per comunicazione del Governo sulla revisione della convenzione tra la Tirrenia e la Regione Sardegna; sversamento di liquami nocivi nel fiume Treja; aumento della disoccupazione giovanile e intendimenti del Governo; violenza sessuale di militari USA a Vicenza; per la nomina di un ministro per le pari opportunità) e per la risposta a strumenti del sindacato ispettivo.","PAOLO","BERNINI","male",1987-07-03,"MOVIMENTO 5 STELLE (19.03.2013-22.03.2018)","Laurea in tecnologia della comunicazione audiovisiva e multimediale; Studente",2013-03-19,2018-03-22,2014-07-31,"<http://dati.camera.it/ocd/intervento.rdf/in17_291478>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib69280_17>","Movimento 5 Stelle"
"24","Esame e rinvio - Modifica all'articolo 4 della legge 2 luglio 2004, n. 165, recante disposizioni volte a garantire l'equilibrio nella rappresentanza tra donne e uomini nei consigli regionali. C. 1278","DORINA","BIANCHI","female",1966-06-03,"NUOVO CENTRODESTRA (18.11.2013-22.03.2018)","Laurea in medicina e chirurgia, Specializzazione in radiologia; Radiologo, Neuroradiologo",2013-11-18,2018-03-22,2015-10-01,"<http://dati.camera.it/ocd/intervento.rdf/in17_354816>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib82761_17>","Destra"
"25","Seguito dell'esame e rinvio - Modifica all'articolo 4 della legge 2 luglio 2004, n. 165, recante disposizioni volte a garantire l'equilibrio nella rappresentanza tra donne e uomini nei consigli regionali. Testo base C. 3297, approvata dal Senato, C. 1278","DORINA","BIANCHI","female",1966-06-03,"NUOVO CENTRODESTRA (18.11.2013-22.03.2018)","Laurea in medicina e chirurgia, Specializzazione in radiologia; Radiologo, Neuroradiologo",2013-11-18,2018-03-22,2015-12-17,"<http://dati.camera.it/ocd/intervento.rdf/in17_369087>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib86168_17>","Destra"
"26","Seguito dell'esame e rinvio - Modifica all'articolo 4 della legge 2 luglio 2004, n. 165, recante disposizioni volte a garantire l'equilibrio nella rappresentanza tra donne e uomini nei consigli regionali. Testo base C. 3297, approvata dal Senato, C. 1278","DORINA","BIANCHI","female",1966-06-03,"NUOVO CENTRODESTRA (18.11.2013-22.03.2018)","Laurea in medicina e chirurgia, Specializzazione in radiologia; Radiologo, Neuroradiologo",2013-11-18,2018-03-22,2015-12-17,"<http://dati.camera.it/ocd/intervento.rdf/in17_369090>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib86168_17>","Destra"
"27","Seguito dell'esame e rinvio - Adozione del testo base C. 3297 - Modifica all'articolo 4 della legge 2 luglio 2004, n. 165, recante disposizioni volte a garantire l'equilibrio nella rappresentanza tra donne e uomini nei consigli regionali. C. 1278","DORINA","BIANCHI","female",1966-06-03,"NUOVO CENTRODESTRA (18.11.2013-22.03.2018)","Laurea in medicina e chirurgia, Specializzazione in radiologia; Radiologo, Neuroradiologo",2013-11-18,2018-03-22,2015-12-03,"<http://dati.camera.it/ocd/intervento.rdf/in17_366454>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib85715_17>","Destra"
"28","Seguito dell'esame e rinvio - Adozione del testo base C. 3297 - Modifica all'articolo 4 della legge 2 luglio 2004, n. 165, recante disposizioni volte a garantire l'equilibrio nella rappresentanza tra donne e uomini nei consigli regionali. C. 1278","DORINA","BIANCHI","female",1966-06-03,"NUOVO CENTRODESTRA (18.11.2013-22.03.2018)","Laurea in medicina e chirurgia, Specializzazione in radiologia; Radiologo, Neuroradiologo",2013-11-18,2018-03-22,2015-12-03,"<http://dati.camera.it/ocd/intervento.rdf/in17_366456>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib85715_17>","Destra"
"29","Sull'ordine dei lavori, per interventi su argomenti non iscritti all'ordine del giorno (decessi a seguito di vaccinazioni e richiesta di un'informativa del Ministro della salute a tale riguardo; mancata adozione del piano antiviolenza sulle donne; rilevanza del fenomeno della mancata risposta alle interrogazioni; competenze per il riordino della sanità; vertenza dei lavoratori della società Milano 90; incardinamento di una proposta di legge; tragica scomparsa del bambino Andrea Stival in Sicilia) e per la risposta a strumenti del sindacato ispettivo.","PAOLA","BINETTI","female",1943-03-29,"PER L'ITALIA (10.12.2013-16.12.2014)","Laurea in medicina e chirurgia, Specializzazione in neuropsichiatria infantile; Professore ordinario di storia della medicina",2013-12-10,2014-12-16,2014-11-30,"<http://dati.camera.it/ocd/intervento.rdf/in17_309152>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib72948_17>","Centro"
"30","Nella giornata internazionale per l'eliminazione della violenza contro le donne","PAOLA","BINETTI","female",1943-03-29,"PER L'ITALIA (10.12.2013-16.12.2014)","Laurea in medicina e chirurgia, Specializzazione in neuropsichiatria infantile; Professore ordinario di storia della medicina",2013-12-10,2014-12-16,2014-11-25,"<http://dati.camera.it/ocd/intervento.rdf/in17_308083>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib72764_17>","Centro"
"31","Sull'ordine dei lavori, in merito a comportamenti illeciti di alcuni esponenti della forza pubblica, ad un caso di violenza su una donna, per congratulazioni alla Questura di Roma per l'individuazione dei responsabili di un episodio di antisemitismo, e per la risposta a strumenti del sindacato ispettivo","PAOLA","BINETTI","female",1943-03-29,"PER L'ITALIA (10.12.2013-16.12.2014)","Laurea in medicina e chirurgia, Specializzazione in neuropsichiatria infantile; Professore ordinario di storia della medicina",2013-12-10,2014-12-16,2014-01-31,"<http://dati.camera.it/ocd/intervento.rdf/in17_261290>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib62832_17>","Centro"
"32","Iniziative di competenza a tutela delle donne colpite da diabete gestazionale  n. 2-00556","PAOLA","BINETTI","female",1943-03-29,"PER L'ITALIA (10.12.2013-16.12.2014)","Laurea in medicina e chirurgia, Specializzazione in neuropsichiatria infantile; Professore ordinario di storia della medicina",2013-12-10,2014-12-16,2014-06-19,"<http://dati.camera.it/ocd/intervento.rdf/in17_282921>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib67566_17>","Centro"
"33","Iniziative di competenza a tutela delle donne colpite da diabete gestazionale  n. 2-00556","PAOLA","BINETTI","female",1943-03-29,"PER L'ITALIA (10.12.2013-16.12.2014)","Laurea in medicina e chirurgia, Specializzazione in neuropsichiatria infantile; Professore ordinario di storia della medicina",2013-12-10,2014-12-16,2014-06-19,"<http://dati.camera.it/ocd/intervento.rdf/in17_282922>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib67566_17>","Centro"
"34","Svolgimento e conclusione - Indagine conoscitiva sull'Agenda 2030 per lo sviluppo sostenibile.
Audizione della Vice Direttrice Generale dell'Organizzazione Mondiale della Sanità per la Salute della Famiglia, delle Donne e dei Bambini, Flavia Bustreo","PAOLA","BOLDRINI","female",1960-08-08,"PARTITO DEMOCRATICO (12.01.2015-22.03.2018)","Laurea in pedagogia; Responsabile amministrativo dipartimento universitario",2015-01-12,2018-03-22,2016-07-14,"<http://dati.camera.it/ocd/intervento.rdf/in17_400247>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib93898_17>","Sinistra"
"35","Svolgimento e conclusione - Indagine conoscitiva sulla prostituzione minorile.
Audizione di Ilaria Boiano, componente dell'Ufficio legale dell'Associazione «Differenza Donna».","MICHELA VITTORIA","BRAMBILLA","female",1967-10-26,"IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE (19.03.2013-22.03.2018)",NA,2013-03-19,2018-03-22,2015-02-10,"<http://dati.camera.it/ocd/intervento.rdf/in17_319691>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib74725_17>","Destra"
"36","Sull'ordine dei lavori (udienza del leader di un partito al Quirinale; costituzione di un gruppo di deptuati per la modifica della normativa sulla cittadinanza; vicenda di una donna figlia di immigrati stranieri; problemi di alcuni cittadini). Per la disciplina della discussione, per il rispetto del Presidente della Repubblica, in merito a espressioni sconvenienti atte a ledere persone o istituzioni e per l'uso di un linguaggio consono. Richiamo al Regolamento, sulla disciplina degli interventi sull'ordine dei lavori.","GIUSEPPE","BRESCIA","male",1983-08-03,"MOVIMENTO 5 STELLE (19.03.2013-22.03.2018)","Laurea specialistica in educazione degli adulti e formazione continua; Pedagogista",2013-03-19,2018-03-22,2014-04-03,"<http://dati.camera.it/ocd/intervento.rdf/in17_273087>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib65092_17>","Movimento 5 Stelle"
"37","Sull'ordine dei lavori (udienza del leader di un partito al Quirinale; costituzione di un gruppo di deptuati per la modifica della normativa sulla cittadinanza; vicenda di una donna figlia di immigrati stranieri; problemi di alcuni cittadini). Per la disciplina della discussione, per il rispetto del Presidente della Repubblica, in merito a espressioni sconvenienti atte a ledere persone o istituzioni e per l'uso di un linguaggio consono. Richiamo al Regolamento, sulla disciplina degli interventi sull'ordine dei lavori.","GIUSEPPE","BRESCIA","male",1952-03-29,"MOVIMENTO 5 STELLE (19.03.2013-22.03.2018)","Laurea specialistica in educazione degli adulti e formazione continua; Pedagogista",2013-03-19,2018-03-22,2014-04-03,"<http://dati.camera.it/ocd/intervento.rdf/in17_273087>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib65092_17>","Movimento 5 Stelle"
"38","Per richiami al Regolamento e sull'ordine dei lavori (disciplina degli interventi sul processo verbale; irritualità della chiusura anticipata della discussione nella seduta del 29 gennaio; stigmatizzazione del comportamento di un gruppo parlamentare; impossibilità per alcuni deputati di partecipare alle sedute delle Commissioni; incidenti verificatisi nel corso della seduta del 29 gennaio; riforma del Regolamento; solidarietà agli assistenti parlamentari; espressioni di solidarietà alla Presidente della Camera e al Presidente della Repubblica; adozione di atteggiamenti e di un linguaggio irrispettosi nei confronti delle donne).","RENATO","BRUNETTA","male",1950-05-26,"IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE (19.03.2013-22.03.2018)","Laurea in scienze politiche; Professore ordinario di discipline economiche",2013-03-19,2018-03-22,2014-01-30,"<http://dati.camera.it/ocd/intervento.rdf/in17_261044>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib62801_17>","Destra"
"39","Nella giornata internazionale per l'eliminazione della violenza contro le donne","RENATA","BUENO","female",1979-11-10,"MISTO (19.03.2013-22.03.2018)","Dottorato di ricerca in diritto internazionale; Avvocato",2013-03-19,2018-03-22,2014-11-25,"<http://dati.camera.it/ocd/intervento.rdf/in17_308087>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib72764_17>","Misto"
"40","Per un richiamo al Regolamento circa la presunta parzialità della Presidente della Camera nella conduzione della seduta, in difesa della stessa dai reiterati attacchi da parte di un gruppo parlamentare, su presunte anomalie nelle votazioni in Comitato dei nove, e sull'ordine dei lavori (omicidio di una donna a Udine; insulti ad esponenti di un partito da parte di un membro del Comitato dei saggi per le riforme costituzionali; compleanno di Lucia Annibaldi, vittima di violenza; sugli effetti negativi del decreto svuota-carceri e sugli uomini vittime di stalking; sentenza sul lodo Mondadori; contenuto degli interventi sull'ordine dei lavori).","GIANLUCA","BUONANNO","male",1966-05-15,"LEGA NORD E AUTONOMIE (19.03.2013-25.06.2014)","Diploma di istituto tecnico commerciale",2013-03-19,2014-06-25,2013-09-18,"<http://dati.camera.it/ocd/intervento.rdf/in17_234433>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib57966_17>","Destra"
"41","Sull'ordine dei lavori, per interventi su argomenti non iscritti all'ordine del giorno (anniversario della morte dello studente Vito Scafidi; concerto neonazista in provincia di Milano; opacità nelle associazioni di volontariato ambientale; mancata attuazione del piano antiviolenza sulle donne; morte di un elettricista dell'ILVA per malattia professionale; ferimento di un'attivista italiana di Greenpeace; crescita dei reati contro la persona nel ragusano; proposta di legge sulla registrazione degli atti di stato civile; esondazione del fiume Seveso e posizione di un gruppo politico; finanziamenti pubblici delle diverse fonti energetiche) e per la risposta a strumenti del sindacato ispettivo","FRANCESCA","BUSINAROLO","female",1983-07-11,"MOVIMENTO 5 STELLE (19.03.2013-22.03.2018)","Laurea in giurisprudenza; Libero professionista",2013-03-19,2018-03-22,2014-11-17,"<http://dati.camera.it/ocd/intervento.rdf/in17_305881>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib72469_17>","Movimento 5 Stelle"
